corpus	entity_type	hexdigest
gnormplus	gene	28f9181c4b3c5270e2d922ec5e48da09
gnormplus	gene	cb8b6f2681398ae499d55128551a3e96
gnormplus	gene	a31880b6d788bb51c6ef4390363aab67
gnormplus	gene	53b4d18d54af8553f63694ca2c759709
gnormplus	gene	0653796dd8f692a66cf150ed2ecd0f8c
gnormplus	gene	3c80ad81c405843f0368fa570616cb4a
gnormplus	gene	2e97f1f7ef335f3fbac54f112cef94a5
gnormplus	gene	737f69ccc25fe8a9776ac9124cbb0677
gnormplus	gene	0c7c1182778b1ea370d5a62b7ad494ab
gnormplus	gene	e9a01e374294031be05660318ac5e151
gnormplus	gene	536143dbdd426fbe62d8930183653f93
gnormplus	gene	745818b328eed1af498ff6abbee23753
gnormplus	gene	4c0608878af2c7a484dabe3c6be4d108
gnormplus	gene	c0ff7cdda7dbf98fe8c9e0662392c0b7
gnormplus	gene	164e14371a7ad99fc88e3b851795f88f
gnormplus	gene	461ddac6e07174602fee65d20f686167
gnormplus	gene	11587e820a8eb98e0b2e014d8e551031
gnormplus	gene	69d79d4501e4ef80118c8e9c63766d55
gnormplus	gene	7d796689c5ccb55969cc82d4927fc4a2
gnormplus	gene	27fd27e7f0f006b457941f18e808a419
gnormplus	gene	8d88e8e50ba028a950916e836103f876
gnormplus	gene	906bf86fc2871c1ddc43abc5400ad1a4
gnormplus	gene	c9741102bebe8df7d49b08eaf4b150c3
gnormplus	gene	f70ec3d9dfba37afeb6a3057f8ce1b70
gnormplus	gene	a958f50cc3a036be773a3813b0dbba24
gnormplus	gene	bf955df3a60162c013778abe053f774e
gnormplus	gene	ae70b2fcdad5e07049f7b705f6806e52
gnormplus	gene	b327a52d0acec5df016bb228ca22680f
gnormplus	gene	06e3fc1904989f3dbfdf32b9d1fa552c
gnormplus	gene	e54570f8f0c0da73a0a7547cd2014fc9
gnormplus	gene	d97309e3add5fd23487772fcf9b6796d
gnormplus	gene	a096252926d05f11ceba3d5a0152b285
gnormplus	gene	973ad3f3dd3e607c1a79d08a2cb93b4a
gnormplus	gene	a0f6c483948546dd2968296f5889b337
gnormplus	gene	12928eaf3d4b7b2c529054fd1687eaab
gnormplus	gene	0ea746e00e783775b4756d998ae8e8c1
gnormplus	gene	ea796da0a0629db76c404878075ade9c
gnormplus	gene	eb1cc6d47855bacf6dbaab94b7817ca6
gnormplus	gene	e06ce925729c5eff9cce082f2effe66c
gnormplus	gene	a992ad4480ecea43970db3c1614318bf
gnormplus	gene	661ff10df33ef50f674f8cd52c65f6ca
gnormplus	gene	b57eb6947020e004c0f9ec63a6274c97
gnormplus	gene	f690da22ce4f0831799f7ed19c12a928
gnormplus	gene	b355e81a5732da1b0bfaf2c6e1fe8e04
gnormplus	gene	2ca681994bbc2a5ba5d1331505a532b2
gnormplus	gene	f00d14b152bbbef161942b8fe5539501
gnormplus	gene	6184f6636c1aaf37539942580bec5ec4
gnormplus	gene	51e38f96cb7a40ba9dbab8ed916f0329
gnormplus	gene	a4e7f167a304f56c8f325d4096aebd34
gnormplus	gene	6b60b22a27ab91c7c6cd8c2569ff88b7
gnormplus	gene	7df6ee8cff6864634772c104fc111c35
gnormplus	gene	69d35c51e90fbaa3e1ec9fb844707710
gnormplus	gene	95b92d7ca7803d3e9a09cfa62deb7614
gnormplus	gene	ba31db8a0026f9f8c376f3c25cfcbe82
gnormplus	gene	caf0f10dc40ed6d9523da13e16c0bdae
gnormplus	gene	31eb25d37a840130680618bf487d518f
gnormplus	gene	4889f638d049b6b518e53fd90e600208
gnormplus	gene	bc685424eb141ea07fec3deeffd15d3d
gnormplus	gene	a095a0227685d30b164717ef258ac941
gnormplus	gene	1499ac316fb0c4d5ebae3054fd1a43e2
gnormplus	gene	614bc932941ef46ebdb057d756df0973
gnormplus	gene	cdd32ea0d3a02545e982d331fc3a87e8
gnormplus	gene	b73a8849126d2beb67379c72bc86e2ff
gnormplus	gene	224f2aec36fdd6822f5e7113f4d3df34
gnormplus	gene	a06cb8096440b1795bf8c8be47c5c79e
gnormplus	gene	bb860a2fa40f9fe0e235d8aa435d6083
gnormplus	gene	a5433a940067cae32b18d60767bee1fe
gnormplus	gene	38e2d4b0865ba034427d7164f6fc1ba3
gnormplus	gene	9aa951ea640af62dc1405b7b8b6fed8f
gnormplus	gene	5a82270a56376c1774c84d729ecbab97
gnormplus	gene	fc76ba3aef30fc025750c21832daa144
