corpus	entity_type	hexdigest
gnormplus	gene	6d529ae0af18393c611382d60e4fa726
gnormplus	gene	5344bf6e199ae3819c8d243f02f28108
gnormplus	gene	6b37433c3c81a518625b20c46214dce3
gnormplus	gene	aed084a7dc3c96c2c069bd0e7be59b85
gnormplus	gene	8c32dec03fa5fe37fa1f331d21a7d6b7
gnormplus	gene	e0495fe2edbd1d4f6b48494b3a5b6fc1
gnormplus	gene	2b839ddfbcc79146445a71ac81d86a3d
gnormplus	gene	9e0f612f24672c662d47b3447294d9bb
gnormplus	gene	0b399bc89b66a3ce0d9f32130c17b725
gnormplus	gene	c05140f15c24c0a9e78d2c3bf2c50508
gnormplus	gene	84ad8b0ee19733a0f493eb6886f09575
gnormplus	gene	d9d2204351cdb3122e8c6d58bc3de27c
gnormplus	gene	022133be839a4bd21663ddeac1e186be
gnormplus	gene	2d028306503b7f93c81c2ce4c27d1bcb
gnormplus	gene	5b93a2ec52266aaf472d627fcd16a72d
gnormplus	gene	1d8d949c96f144153ecf6a7b323e41e3
gnormplus	gene	4520552f70c907b0b5f0687541405b3b
gnormplus	gene	3f2167a01eaee24a3aaecb898f370c63
gnormplus	gene	d1b935ab4623bda59484a4f52c804148
gnormplus	gene	8efd8cb95bf65044c873e9e6440dfc72
gnormplus	gene	401891bbbdb7e16740bb7dfd6b0d63cb
gnormplus	gene	8acf9caa03fdbcbe33168530b335b88d
gnormplus	gene	d1a6ed75285952628fd413b45887b752
gnormplus	gene	3a54d5fe8db66943b90a8b097f3a8bf3
gnormplus	gene	b37f0c5c9744e9d8fe2cbe4b3437ab65
gnormplus	gene	3a8de1f71495fb3b0b096a172e265188
gnormplus	gene	8dd8d46a58a175ad1dda68721b495fa1
gnormplus	gene	7dee3c79b1bfecccbe8f55ebafc25064
gnormplus	gene	c672a6767f61ecb3bbe747cf5d6360cd
gnormplus	gene	436521af61a6c7616105f0c4e433f01e
gnormplus	gene	42c63ea636d31f9b3692ee3aa4a4ec8e
gnormplus	gene	1b0d1a6bb66ca8c15e2aa0187b941f4e
gnormplus	gene	645b32db36db9e2742d9e6c9c1fd1f53
gnormplus	gene	f3713670ea831dfa364a8390411d6084
gnormplus	gene	242d86741f358f67c2af6c4b367b29c5
gnormplus	gene	fd9da373141b8ef79077f7c6d17e48f4
gnormplus	gene	d526014bcf784cc7a86962b38be71b18
gnormplus	gene	ab5d9a11bc8a9413721d6c95fe8b4304
gnormplus	gene	f1af87f14512e98f4022743f6b143ca8
gnormplus	gene	10cf1b10edb565e4a87ac784ffe40276
gnormplus	gene	437825c0e9d63884aa70f43bb1cb01bf
gnormplus	gene	db0d4773b0994b199e0a0ecfef55b9af
gnormplus	gene	237ce10fbc365e925a5b10db68d9a4e4
gnormplus	gene	e05c4efe5a51e075d8146d8e969a1a64
gnormplus	gene	085592fd9840917fc8a47d549999505b
gnormplus	gene	936d258cc5f8e45d1af1ed03c125a39a
gnormplus	gene	06ce17245d1af32ae77c36fffd605a22
gnormplus	gene	c6f9362434790a673bf42108e2c0b42a
gnormplus	gene	e50a0d3509d7e4504e033e52bc69617a
gnormplus	gene	cc27aac132c163ad190bfc5f1e174e19
gnormplus	gene	08e57318b2250e2f12b4459ed550d2f2
gnormplus	gene	857c0e4256ae246711708b9c6a9f3c13
gnormplus	gene	91945297fbca69fc0f9326533c021f99
gnormplus	gene	9379cf56b3f462cdc16c1a636d8173fa
gnormplus	gene	491385a572efb6caa74b35259480a152
gnormplus	gene	6eeab24b0ad8dd536177a67f7739f09a
gnormplus	gene	f198bd4643a69bf69f984b6aefafdd7d
gnormplus	gene	faf2d9a2faddfa6c4d1cc4286313f04d
gnormplus	gene	ba701c23b3af6ab4d20d3ada0f493461
gnormplus	gene	82979724607ebc2a04f7696f2cb35d44
gnormplus	gene	39963e15a338dfc158e1323979e9fa67
gnormplus	gene	977329feafd973fb4302feafb45b7165
gnormplus	gene	def00003239802b085046856b3af9f5e
gnormplus	gene	c2a24d732dc02864af7fb8c286b7d682
gnormplus	gene	3a46966446972238523d05b02e07883b
gnormplus	gene	8e7d9565306a2f424329ef3fac75b870
gnormplus	gene	3e430d995ce53a3788297adb821262a1
gnormplus	gene	84394cf1eebc0ef8e557c8ffcd61a9af
gnormplus	gene	d1512348cc4795dcadad9d8542113d65
gnormplus	gene	80e62467fc5a27b9054e2f54ff920a90
gnormplus	gene	f3b0499aecd99b151c7c364f5033ee8b
gnormplus	gene	e3f8169f5d3877b19b453441a2e88e9a
gnormplus	gene	a01bff007952c7c3aeea651ad27065cf
gnormplus	gene	e114feefc62b989cf71e8c6295cdd57b
gnormplus	gene	cd27d89e3f47e394b70bf1e786f69e97
gnormplus	gene	89b927f1ff7194b7a796bbf6499e2f6d
gnormplus	gene	05f9a216fee62ce15bf52840f3578b59
gnormplus	gene	0eb8ccc4badcb32b19ae33d2ba76eee4
gnormplus	gene	81501bc409729dfbc5e028e438fcbcb2
gnormplus	gene	42ab7a6f5ee8ad9030f0fc3e19ef1d12
gnormplus	gene	29b408bc9dfe889bdb23d8ea11e037f8
gnormplus	gene	6e5c91bf23f4a9f0a246035362b4adf1
gnormplus	gene	fd5e2ca33a5d9c4eb3de55e28f1f149f
gnormplus	gene	cc2792930ae5b36be6f1bc937ba85609
gnormplus	gene	18504a14f50798a6bb2b66eae2c9ff7b
gnormplus	gene	14fd16bfde82a2045ab05e27242ef0ef
gnormplus	gene	44c5ae0ef87b622e91b3faf7ba281eb8
gnormplus	gene	c45cbf0d1ee800901a03770db519c30d
gnormplus	gene	c6a30829f08c216869e4663d88d2f347
gnormplus	gene	587c751a44fa4f08da3a8aedf7fdb44f
gnormplus	gene	1d1b63aa3ef7f2154b216257d507831a
gnormplus	gene	f04d7bc6b11fa6236d60255d6c54a508
gnormplus	gene	e24850dd666a17b08afd712208d21dce
gnormplus	gene	0e3cd366a1b296d5844a703a1f253ae1
gnormplus	gene	f21bb13c9b22f7b08fdb412fc70c6281
gnormplus	gene	5806c5f2156dc47bfacb1952082baed2
gnormplus	gene	15d1d8e00de68110260310cd5e731a77
gnormplus	gene	ebb2bf5f2a4ddcf5f628a5e46c5aa300
